group,ablation_name,features,n_features,accuracy,precision,recall,f1,roc_auc,avg_precision,det_best_threshold,det_best_fpr,det_best_fnr,det_fpr_plus_fnr
Hybrid,wer + avg_logprob + lm_surprisal_std,wer|avg_logprob|lm_surprisal_std,3,0.775,0.75,0.3559322033898305,0.4827586206896552,0.725567976920303,0.6635663835215561,0.3070837153983901,0.2127659574468085,0.3050847457627119,0.5178507032095204
ASR_only,wer + avg_logprob,wer|avg_logprob,2,0.77,0.7241379310344828,0.3559322033898305,0.4772727272727273,0.7272508714989784,0.6626160599550532,0.3948817743451383,0.09929078014184398,0.4406779661016949,0.5399687462435389
Hybrid,wer + avg_logprob + repetition_ratio,wer|avg_logprob|repetition_ratio,3,0.77,0.7241379310344828,0.3559322033898305,0.4772727272727273,0.7272508714989784,0.6626160599550532,0.3948820193100601,0.09929078014184398,0.4406779661016949,0.5399687462435389
Hybrid,wer + lm_perplexity + unique_token_ratio,wer|lm_perplexity|unique_token_ratio,3,0.73,0.7777777777777778,0.11864406779661017,0.20588235294117646,0.7386705132828466,0.5651273075691208,0.2693184093802416,0.3404255319148936,0.22033898305084745,0.5607645149657411
Hybrid,wer + unique_token_ratio,wer|unique_token_ratio,2,0.73,0.7777777777777778,0.11864406779661017,0.20588235294117646,0.7414953720399086,0.5624267018468041,0.2638551989168808,0.3546099290780142,0.22033898305084745,0.5749489121288617
Hybrid,wer + repetition_ratio + unique_token_ratio,wer|repetition_ratio|unique_token_ratio,3,0.73,0.7777777777777778,0.11864406779661017,0.20588235294117646,0.7414953720399086,0.5624267018468041,0.2638552316281926,0.3546099290780142,0.22033898305084745,0.5749489121288617
LM_only,lm_perplexity + unique_token_ratio,lm_perplexity|unique_token_ratio,2,0.73,0.631578947368421,0.2033898305084746,0.3076923076923077,0.7286332491886044,0.5265156214120276,0.2661919480678489,0.3262411347517731,0.2542372881355932,0.5804784228873663
LM_only,unique_token_ratio,unique_token_ratio,1,0.73,0.631578947368421,0.2033898305084746,0.3076923076923077,0.7308570741675682,0.5218044897353538,0.2618316268122615,0.3333333333333333,0.2542372881355932,0.5875706214689265
LM_only,repetition_ratio + unique_token_ratio,repetition_ratio|unique_token_ratio,2,0.73,0.631578947368421,0.2033898305084746,0.3076923076923077,0.7308570741675682,0.5218044897353538,0.26183160855806387,0.3333333333333333,0.2542372881355932,0.5875706214689265
Hybrid,wer + lm_surprisal_std + unique_token_ratio,wer|lm_surprisal_std|unique_token_ratio,3,0.73,0.7777777777777778,0.11864406779661017,0.20588235294117646,0.7283327322995553,0.5551229739599344,0.29268885052480287,0.23404255319148937,0.3559322033898305,0.5899747565813198
Hybrid,wer + lm_avg_neg_logprob + unique_token_ratio,wer|lm_avg_neg_logprob|unique_token_ratio,3,0.72,0.6363636363636364,0.11864406779661017,0.2,0.7166726770044477,0.5417256381509223,0.30190571167691077,0.24113475177304963,0.3898305084745763,0.6309652602476259
LM_only,lm_surprisal_std + unique_token_ratio,lm_surprisal_std|unique_token_ratio,2,0.715,0.55,0.1864406779661017,0.27848101265822783,0.7121649236687103,0.5005757642508438,0.27156056690843516,0.2765957446808511,0.3559322033898305,0.6325279480706816
Hybrid,wer + compression_ratio + unique_token_ratio,wer|compression_ratio|unique_token_ratio,3,0.725,0.6666666666666666,0.13559322033898305,0.22535211267605634,0.7346435869695878,0.5579970258631177,0.3224501341634034,0.2127659574468085,0.423728813559322,0.6364947710061305
Hybrid,wer + compression_ratio + lm_avg_neg_logprob,wer|compression_ratio|lm_avg_neg_logprob,3,0.725,0.7,0.11864406779661017,0.2028985507246377,0.6978002163721602,0.5430373246139012,0.3306099897090121,0.16312056737588654,0.4745762711864407,0.6376968385623272
Hybrid,wer + compression_ratio + lm_surprisal_std,wer|compression_ratio|lm_surprisal_std,3,0.725,0.7,0.11864406779661017,0.2028985507246377,0.6980406298833995,0.5231156409296076,0.31398617582486343,0.19858156028368795,0.4406779661016949,0.6392595263853829
ASR_only,wer + compression_ratio,wer|compression_ratio,2,0.725,0.7,0.11864406779661017,0.2028985507246377,0.7032095203750451,0.513108428670576,0.2999435754479,0.20567375886524822,0.4406779661016949,0.6463517249669432
Hybrid,wer + compression_ratio + repetition_ratio,wer|compression_ratio|repetition_ratio,3,0.725,0.7,0.11864406779661017,0.2028985507246377,0.7032095203750451,0.513108428670576,0.2999436044185141,0.20567375886524822,0.4406779661016949,0.6463517249669432
Hybrid,wer + compression_ratio + lm_perplexity,wer|compression_ratio|lm_perplexity,3,0.725,0.7,0.11864406779661017,0.2028985507246377,0.7011660055295108,0.5123864616008407,0.30253893054137154,0.20567375886524822,0.4406779661016949,0.6463517249669432
Hybrid,compression_ratio + lm_avg_neg_logprob + unique_token_ratio,compression_ratio|lm_avg_neg_logprob|unique_token_ratio,3,0.74,0.7333333333333333,0.1864406779661017,0.2972972972972973,0.6940738069479504,0.5264947976062073,0.3001237950858077,0.20567375886524822,0.4406779661016949,0.6463517249669432
Hybrid,compression_ratio + lm_surprisal_std + unique_token_ratio,compression_ratio|lm_surprisal_std|unique_token_ratio,3,0.73,0.6923076923076923,0.15254237288135594,0.25,0.7030893136194255,0.5249417263885949,0.29326399787681834,0.22695035460992907,0.423728813559322,0.6506791681692511
ASR_only,compression_ratio,compression_ratio,1,0.725,0.7,0.11864406779661017,0.2028985507246377,0.6967784589493929,0.508639445714273,0.2952846152347573,0.2198581560283688,0.4406779661016949,0.6605361221300637
Hybrid,compression_ratio + repetition_ratio,compression_ratio|repetition_ratio,2,0.725,0.7,0.11864406779661017,0.2028985507246377,0.6967784589493929,0.508639445714273,0.2952846575570578,0.2198581560283688,0.4406779661016949,0.6605361221300637
Hybrid,compression_ratio + lm_perplexity,compression_ratio|lm_perplexity,2,0.725,0.7,0.11864406779661017,0.2028985507246377,0.6949152542372881,0.509793774810808,0.29826530290112907,0.2198581560283688,0.4406779661016949,0.6605361221300637
Hybrid,compression_ratio + lm_perplexity + repetition_ratio,compression_ratio|lm_perplexity|repetition_ratio,3,0.725,0.7,0.11864406779661017,0.2028985507246377,0.6949152542372881,0.509793774810808,0.2982652968307516,0.2198581560283688,0.4406779661016949,0.6605361221300637
Hybrid,compression_ratio + lm_avg_neg_logprob + lm_surprisal_std,compression_ratio|lm_avg_neg_logprob|lm_surprisal_std,3,0.73,0.6923076923076923,0.15254237288135594,0.25,0.6798894097848299,0.5169385676288186,0.30442596955619217,0.20567375886524822,0.4576271186440678,0.663300877509316
Hybrid,compression_ratio + lm_surprisal_std,compression_ratio|lm_surprisal_std,2,0.72,0.6363636363636364,0.11864406779661017,0.2,0.6889049164563048,0.516472096252346,0.30303853876895787,0.22695035460992907,0.4406779661016949,0.667628320711624
Hybrid,compression_ratio + lm_surprisal_std + repetition_ratio,compression_ratio|lm_surprisal_std|repetition_ratio,3,0.72,0.6363636363636364,0.11864406779661017,0.2,0.6889049164563048,0.516472096252346,0.30303853742178116,0.22695035460992907,0.4406779661016949,0.667628320711624
Hybrid,compression_ratio + lm_avg_neg_logprob,compression_ratio|lm_avg_neg_logprob,2,0.73,0.6923076923076923,0.15254237288135594,0.25,0.6866209880995312,0.5190877120217989,0.3031312783034692,0.2127659574468085,0.4576271186440678,0.6703930760908763
Hybrid,compression_ratio + lm_avg_neg_logprob + repetition_ratio,compression_ratio|lm_avg_neg_logprob|repetition_ratio,3,0.73,0.6923076923076923,0.15254237288135594,0.25,0.6866209880995312,0.5190877120217989,0.3031312177645166,0.2127659574468085,0.4576271186440678,0.6703930760908763
Hybrid,compression_ratio + lm_avg_neg_logprob + lm_perplexity,compression_ratio|lm_avg_neg_logprob|lm_perplexity,3,0.73,0.6923076923076923,0.15254237288135594,0.25,0.6863805745882919,0.5180145723348667,0.3031706241649491,0.2127659574468085,0.4576271186440678,0.6703930760908763
Hybrid,compression_ratio + lm_perplexity + lm_surprisal_std,compression_ratio|lm_perplexity|lm_surprisal_std,3,0.72,0.6363636363636364,0.11864406779661017,0.2,0.6839764394758986,0.5125589245550721,0.3261115097126684,0.14893617021276595,0.5254237288135594,0.6743598990263253
